SEGMENT	SAMPLE_POS	REF_POS
PB2	126	126	
PB2	127	127	
PB2	128	128	
PB2	129	129	
PB2	130	130	
PB2	131	131	
PB2	132	132	
PB2	133	133	
PB2	134	134	
PB2	135	135	
PB2	136	136	
PB2	137	137	
PB2	138	138	
PB2	139	139	
PB2	140	140	
PB2	141	141	
PB2	142	142	
PB2	143	143	
PB2	144	144	
PB2	145	145	
PB2	146	146	
PB2	147	147	
PB2	148	148	
PB2	149	149	
PB2	150	150	
PB2	151	151	
PB2	152	152	
PB2	153	153	
PB2	154	154	
PB2	155	155	
PB2	156	156	
PB2	157	157	
PB2	158	158	
PB2	159	159	
PB2	160	160	
PB2	161	161	
PB2	162	162	
PB2	163	163	
PB2	164	164	
PB2	165	165	
PB2	166	166	
PB2	167	167	
PB2	168	168	
PB2	169	169	
PB2	170	170	
PB2	171	171	
PB2	172	172	
PB2	173	173	
PB2	174	174	
PB2	175	175	
PB2	176	176	
PB2	177	177	
PB2	178	178	
PB2	179	179	
PB2	180	180	
PB2	181	181	
PB2	182	182	
PB2	183	183	
PB2	184	184	
PB2	185	185	
PB2	186	186	
PB2	187	187	
PB2	188	188	
PB2	189	189	
PB2	190	190	
PB2	191	191	
PB2	192	192	
PB2	193	193	
PB2	194	194	
PB2	195	195	
PB2	196	196	
PB2	197	197	
PB2	198	198	
PB2	199	199	
PB2	200	200	
PB2	201	201	
PB2	202	202	
PB2	203	203	
PB2	204	204	
PB2	205	205	
PB2	206	206	
PB2	207	207	
PB2	208	208	
PB2	209	209	
PB2	210	210	
PB2	211	211	
PB2	212	212	
PB2	213	213	
PB2	214	214	
PB2	215	215	
PB2	216	216	
PB2	217	217	
PB2	218	218	
PB2	219	219	
PB2	220	220	
PB2	221	221	
PB2	222	222	
PB2	223	223	
PB2	224	224	
PB2	225	225	
PB2	226	226	
PB2	227	227	
PB2	228	228	
PB2	229	229	
PB2	230	230	
PB2	231	231	
PB2	232	232	
PB2	233	233	
PB2	234	234	
PB2	235	235	
PB2	236	236	
PB2	237	237	
PB2	238	238	
PB2	239	239	
PB2	240	240	
PB2	241	241	
PB2	242	242	
PB2	243	243	
PB2	244	244	
PB2	245	245	
PB2	246	246	
PB2	247	247	
PB2	248	248	
PB2	249	249	
PB2	250	250	
PB2	251	251	
PB2	252	252	
PB2	253	253	
PB2	254	254	
PB2	255	255	
PB2	256	256	
PB2	257	257	
PB2	258	258	
PB2	259	259	
PB2	260	260	
PB2	261	261	
PB2	262	262	
PB2	263	263	
PB2	264	264	
PB2	265	265	
PB2	266	266	
PB2	267	267	
PB2	268	268	
PB2	269	269	
PB2	270	270	
PB2	271	271	
PB2	272	272	
PB2	273	273	
PB2	274	274	
PB2	275	275	
PB2	276	276	
PB2	277	277	
PB2	278	278	
PB2	279	279	
PB2	280	280	
PB2	281	281	
PB2	282	282	
PB2	283	283	
PB2	284	284	
PB2	285	285	
PB2	286	286	
PB2	287	287	
PB2	288	288	
PB2	289	289	
PB2	290	290	
PB2	291	291	
PB2	292	292	
PB2	293	293	
PB2	294	294	
PB2	295	295	
PB2	296	296	
PB2	297	297	
PB2	298	298	
PB2	299	299	
PB2	300	300	
PB2	301	301	
PB2	302	302	
PB2	303	303	
PB2	304	304	
PB2	305	305	
PB2	306	306	
PB2	307	307	
PB2	308	308	
PB2	309	309	
PB2	310	310	
PB2	311	311	
PB2	312	312	
PB2	313	313	
PB2	314	314	
PB2	315	315	
PB2	316	316	
PB2	317	317	
PB2	318	318	
PB2	319	319	
PB2	320	320	
PB2	321	321	
PB2	322	322	
PB2	323	323	
PB2	324	324	
PB2	325	325	
PB2	326	326	
PB2	327	327	
PB2	328	328	
PB2	329	329	
PB2	330	330	
PB2	331	331	
PB2	332	332	
PB2	333	333	
PB2	334	334	
PB2	335	335	
PB2	336	336	
PB2	337	337	
PB2	338	338	
PB2	339	339	
PB2	340	340	
PB2	341	341	
PB2	342	342	
PB2	343	343	
PB2	344	344	
PB2	345	345	
PB2	346	346	
PB2	347	347	
PB2	348	348	
PB2	349	349	
PB2	350	350	
PB2	351	351	
PB2	352	352	
PB2	353	353	
PB2	354	354	
PB2	355	355	
PB2	356	356	
PB2	357	357	
PB2	358	358	
PB2	359	359	
PB2	360	360	
PB2	361	361	
PB2	362	362	
PB2	363	363	
PB2	364	364	
PB2	365	365	
PB2	366	366	
PB2	367	367	
PB2	368	368	
PB2	369	369	
PB2	370	370	
PB2	371	371	
PB2	372	372	
PB2	373	373	
PB2	374	374	
PB2	375	375	
PB2	376	376	
PB2	377	377	
PB2	378	378	
PB2	379	379	
PB2	380	380	
PB2	381	381	
PB2	382	382	
PB2	383	383	
PB2	384	384	
PB2	385	385	
PB2	386	386	
PB2	387	387	
PB2	388	388	
PB2	389	389	
PB2	390	390	
PB2	391	391	
PB2	392	392	
PB2	393	393	
PB2	394	394	
PB2	395	395	
PB2	396	396	
PB2	397	397	
PB2	398	398	
PB2	399	399	
PB2	400	400	
PB2	401	401	
PB2	402	402	
PB2	403	403	
PB2	404	404	
PB2	405	405	
PB2	406	406	
PB2	407	407	
PB2	408	408	
PB2	409	409	
PB2	410	410	
PB2	411	411	
PB2	412	412	
PB2	413	413	
PB2	414	414	
PB2	415	415	
PB2	416	416	
PB2	417	417	
PB2	418	418	
PB2	419	419	
PB2	420	420	
PB2	421	421	
PB2	422	422	
PB2	423	423	
PB2	424	424	
PB2	425	425	
PB2	426	426	
PB2	427	427	
PB2	428	428	
PB2	429	429	
PB2	430	430	
PB2	431	431	
PB2	432	432	
PB2	433	433	
PB2	434	434	
PB2	435	435	
PB2	436	436	
PB2	437	437	
PB2	438	438	
PB2	439	439	
PB2	440	440	
PB2	441	441	
PB2	442	442	
PB2	443	443	
PB2	444	444	
PB2	445	445	
PB2	446	446	
PB2	447	447	
PB2	448	448	
PB2	449	449	
PB2	450	450	
PB2	451	451	
PB2	452	452	
PB2	453	453	
PB2	454	454	
PB2	455	455	
PB2	456	456	
PB2	457	457	
PB2	458	458	
PB2	459	459	
PB2	460	460	
PB2	461	461	
PB2	462	462	
PB2	463	463	
PB2	464	464	
PB2	465	465	
PB2	466	466	
PB2	467	467	
PB2	468	468	
PB2	469	469	
PB2	470	470	
PB2	471	471	
PB2	472	472	
PB2	473	473	
PB2	474	474	
PB2	475	475	
PB2	476	476	
PB2	477	477	
PB2	478	478	
PB2	479	479	
PB2	480	480	
PB2	481	481	
PB2	482	482	
PB2	483	483	
PB2	484	484	
PB2	485	485	
PB2	486	486	
PB2	487	487	
PB2	488	488	
PB2	489	489	
PB2	490	490	
PB2	491	491	
PB2	492	492	
PB2	493	493	
PB2	494	494	
PB2	495	495	
PB2	496	496	
PB2	497	497	
PB2	498	498	
PB2	499	499	
PB2	500	500	
PB2	501	501	
PB2	502	502	
PB2	503	503	
PB2	504	504	
PB2	505	505	
PB2	506	506	
PB2	507	507	
PB2	508	508	
PB2	509	509	
PB2	510	510	
PB2	511	511	
PB2	512	512	
PB2	513	513	
PB2	514	514	
PB2	515	515	
PB2	516	516	
PB2	517	517	
PB2	518	518	
PB2	519	519	
PB2	520	520	
PB2	521	521	
PB2	522	522	
PB2	523	523	
PB2	524	524	
PB2	525	525	
PB2	526	526	
PB2	527	527	
PB2	528	528	
PB2	529	529	
PB2	530	530	
PB2	531	531	
PB2	532	532	
PB2	533	533	
PB2	534	534	
PB2	535	535	
PB2	536	536	
PB2	537	537	
PB2	538	538	
PB2	539	539	
PB2	540	540	
PB2	541	541	
PB2	542	542	
PB2	543	543	
PB2	544	544	
PB2	545	545	
PB2	546	546	
PB2	547	547	
PB2	548	548	
PB2	549	549	
PB2	550	550	
PB2	551	551	
PB2	552	552	
PB2	553	553	
PB2	554	554	
PB2	555	555	
PB2	556	556	
PB2	557	557	
PB2	558	558	
PB2	559	559	
PB2	560	560	
PB2	561	561	
PB2	562	562	
PB2	563	563	
PB2	564	564	
PB2	565	565	
PB2	566	566	
PB2	567	567	
PB2	568	568	
PB2	569	569	
PB2	570	570	
PB2	571	571	
PB2	572	572	
PB2	573	573	
PB2	574	574	
PB2	575	575	
PB2	576	576	
PB2	577	577	
PB2	578	578	
PB2	579	579	
PB2	580	580	
PB2	581	581	
PB2	582	582	
PB2	583	583	
PB2	584	584	
PB2	585	585	
PB2	586	586	
PB2	587	587	
PB2	588	588	
PB2	589	589	
PB2	590	590	
PB2	591	591	
PB2	592	592	
PB2	593	593	
PB2	594	594	
PB2	595	595	
PB2	596	596	
PB2	597	597	
PB2	598	598	
PB2	599	599	
PB2	600	600	
PB2	601	601	
PB2	602	602	
PB2	603	603	
PB2	604	604	
PB2	605	605	
PB2	606	606	
PB2	607	607	
PB2	608	608	
PB2	609	609	
PB2	610	610	
PB2	611	611	
PB2	612	612	
PB2	613	613	
PB2	614	614	
PB2	615	615	
PB2	616	616	
PB2	617	617	
PB2	618	618	
PB2	619	619	
PB2	620	620	
PB2	621	621	
PB2	622	622	
PB2	623	623	
PB2	624	624	
PB2	625	625	
PB2	626	626	
PB2	627	627	
PB2	628	628	
PB2	629	629	
PB2	630	630	
PB2	631	631	
PB2	632	632	
PB2	633	633	
PB2	634	634	
PB2	635	635	
PB2	636	636	
PB2	637	637	
PB2	638	638	
PB2	639	639	
PB2	640	640	
PB2	641	641	
PB2	642	642	
PB2	643	643	
PB2	644	644	
PB2	645	645	
PB2	646	646	
PB2	647	647	
PB2	648	648	
PB2	649	649	
PB2	650	650	
PB2	651	651	
PB2	652	652	
PB2	653	653	
PB2	654	654	
PB2	655	655	
PB2	656	656	
PB2	657	657	
PB2	658	658	
PB2	659	659	
PB2	660	660	
PB2	661	661	
PB2	662	662	
PB2	663	663	
PB2	664	664	
PB2	665	665	
PB2	666	666	
PB2	667	667	
PB2	668	668	
PB2	669	669	
PB2	670	670	
PB2	671	671	
PB2	672	672	
PB2	673	673	
PB2	674	674	
PB2	675	675	
PB2	676	676	
PB2	677	677	
PB2	678	678	
PB2	679	679	
PB2	680	680	
PB2	681	681	
PB2	682	682	
PB2	683	683	
PB2	684	684	
PB2	685	685	
PB2	686	686	
PB2	687	687	
PB2	688	688	
PB2	689	689	
PB2	690	690	
PB2	691	691	
PB2	692	692	
PB2	693	693	
PB2	694	694	
PB2	695	695	
PB2	696	696	
PB2	697	697	
PB2	698	698	
PB2	699	699	
PB2	700	700	
PB2	701	701	
PB2	702	702	
PB2	703	703	
PB2	704	704	
PB2	705	705	
PB2	706	706	
PB2	707	707	
PB2	708	708	
PB2	709	709	
PB2	710	710	
PB2	711	711	
PB2	712	712	
PB2	713	713	
PB2	714	714	
PB2	715	715	
PB2	716	716	
PB2	717	717	
PB2	718	718	
PB2	719	719	
PB2	720	720	
PB2	721	721	
PB2	722	722	
PB2	723	723	
PB2	724	724	
PB2	725	725	
PB2	726	726	
PB2	727	727	
PB2	728	728	
PB2	729	729	
PB2	730	730	
PB2	731	731	
PB2	732	732	
PB2	733	733	
PB2	734	734	
PB2	735	735	
PB2	736	736	
PB2	737	737	
PB2	738	738	
PB2	739	739	
PB2	740	740	
PB2	741	741	
PB2	742	742	
PB2	743	743	
PB2	744	744	
PB2	745	745	
PB2	746	746	
PB2	747	747	
PB2	748	748	
PB2	749	749	
PB2	750	750	
PB2	751	751	
PB2	752	752	
PB2	753	753	
PB2	754	754	
PB2	755	755	
PB2	756	756	
PB2	757	757	
PB2	758	758	
PB2	759	759	
PB2	760	760	
PB2	761	761	
PB2	762	762	
PB2	763	763	
PB2	764	764	
PB2	765	765	
PB2	766	766	
PB2	767	767	
PB2	768	768	
PB2	769	769	
PB2	770	770	
PB2	771	771	
PB2	772	772	
PB2	773	773	
PB2	774	774	
PB2	775	775	
PB2	776	776	
PB2	777	777	
PB2	778	778	
PB2	779	779	
PB2	780	780	
PB2	781	781	
PB2	782	782	
PB2	783	783	
PB2	784	784	
PB2	785	785	
PB2	786	786	
PB2	787	787	
PB2	788	788	
PB2	789	789	
PB2	790	790	
PB2	791	791	
PB2	792	792	
PB2	793	793	
PB2	794	794	
PB2	795	795	
PB2	796	796	
PB2	797	797	
PB2	798	798	
PB2	799	799	
PB2	800	800	
PB2	801	801	
PB2	802	802	
PB2	803	803	
PB2	804	804	
PB2	805	805	
PB2	806	806	
PB2	807	807	
PB2	808	808	
PB2	809	809	
PB2	810	810	
PB2	811	811	
PB2	812	812	
PB2	813	813	
PB2	814	814	
PB2	815	815	
PB2	816	816	
PB2	817	817	
PB2	818	818	
PB2	819	819	
PB2	820	820	
PB2	821	821	
PB2	822	822	
PB2	823	823	
PB2	824	824	
PB2	825	825	
PB2	826	826	
PB2	827	827	
PB2	828	828	
PB2	829	829	
PB2	830	830	
PB2	831	831	
PB2	832	832	
PB2	833	833	
PB2	834	834	
PB2	835	835	
PB2	836	836	
PB2	837	837	
PB2	838	838	
PB2	839	839	
PB2	840	840	
PB2	841	841	
PB2	842	842	
PB2	843	843	
PB2	844	844	
PB2	845	845	
PB2	846	846	
PB2	847	847	
PB2	848	848	
PB2	849	849	
PB2	850	850	
PB2	851	851	
PB2	852	852	
PB2	853	853	
PB2	854	854	
PB2	855	855	
PB2	856	856	
PB2	857	857	
PB2	858	858	
PB2	859	859	
PB2	860	860	
PB2	861	861	
PB2	862	862	
PB2	863	863	
PB2	864	864	
PB2	865	865	
PB2	866	866	
PB2	867	867	
PB2	868	868	
PB2	869	869	
PB2	870	870	
PB2	871	871	
PB2	872	872	
PB2	873	873	
PB2	874	874	
PB2	875	875	
PB2	876	876	
PB2	877	877	
PB2	878	878	
PB2	879	879	
PB2	880	880	
PB2	881	881	
PB2	882	882	
PB2	883	883	
PB2	884	884	
PB2	885	885	
PB2	886	886	
PB2	887	887	
PB2	888	888	
PB2	889	889	
PB2	890	890	
PB2	891	891	
PB2	892	892	
PB2	893	893	
PB2	894	894	
PB2	895	895	
PB2	896	896	
PB2	897	897	
PB2	898	898	
PB2	899	899	
PB2	900	900	
PB2	901	901	
PB2	902	902	
PB2	903	903	
PB2	904	904	
PB2	905	905	
PB2	906	906	
PB2	907	907	
PB2	908	908	
PB2	909	909	
PB2	910	910	
PB2	911	911	
PB2	912	912	
PB2	913	913	
PB2	914	914	
PB2	915	915	
PB2	916	916	
PB2	917	917	
PB2	918	918	
PB2	919	919	
PB2	920	920	
PB2	921	921	
PB2	922	922	
PB2	923	923	
PB2	924	924	
PB2	925	925	
PB2	926	926	
PB2	927	927	
PB2	928	928	
PB2	929	929	
PB2	930	930	
PB2	931	931	
PB2	932	932	
PB2	933	933	
PB2	934	934	
PB2	935	935	
PB2	936	936	
PB2	937	937	
PB2	938	938	
PB2	939	939	
PB2	940	940	
PB2	941	941	
PB2	942	942	
PB2	943	943	
PB2	944	944	
PB2	945	945	
PB2	946	946	
PB2	947	947	
PB2	948	948	
PB2	949	949	
PB2	950	950	
PB2	951	951	
PB2	952	952	
PB2	953	953	
PB2	954	954	
PB2	955	955	
PB2	956	956	
PB2	957	957	
PB2	958	958	
PB2	959	959	
PB2	960	960	
PB2	961	961	
PB2	962	962	
PB2	963	963	
PB2	964	964	
PB2	965	965	
PB2	966	966	
PB2	967	967	
PB2	968	968	
PB2	969	969	
PB2	970	970	
PB2	971	971	
PB2	972	972	
PB2	973	973	
PB2	974	974	
PB2	975	975	
PB2	976	976	
PB2	977	977	
PB2	978	978	
PB2	979	979	
PB2	980	980	
PB2	981	981	
PB2	982	982	
PB2	983	983	
PB2	984	984	
PB2	985	985	
PB2	986	986	
PB2	987	987	
PB2	988	988	
PB2	989	989	
PB2	990	990	
PB2	991	991	
PB2	992	992	
PB2	993	993	
PB2	994	994	
PB2	995	995	
PB2	996	996	
PB2	997	997	
PB2	998	998	
PB2	999	999	
PB2	1000	1000	
PB2	1001	1001	
PB2	1002	1002	
PB2	1003	1003	
PB2	1004	1004	
PB2	1005	1005	
PB2	1006	1006	
PB2	1007	1007	
PB2	1008	1008	
PB2	1009	1009	
PB2	1010	1010	
PB2	1011	1011	
PB2	1012	1012	
PB2	1013	1013	
PB2	1014	1014	
PB2	1015	1015	
PB2	1016	1016	
PB2	1017	1017	
PB2	1018	1018	
PB2	1019	1019	
PB2	1020	1020	
PB2	1021	1021	
PB2	1022	1022	
PB2	1023	1023	
PB2	1024	1024	
PB2	1025	1025	
PB2	1026	1026	
PB2	1027	1027	
PB2	1028	1028	
PB2	1029	1029	
PB2	1030	1030	
PB2	1031	1031	
PB2	1032	1032	
PB2	1033	1033	
PB2	1034	1034	
PB2	1035	1035	
PB2	1036	1036	
PB2	1037	1037	
PB2	1038	1038	
PB2	1039	1039	
PB2	1040	1040	
PB2	1041	1041	
PB2	1042	1042	
PB2	1043	1043	
PB2	1044	1044	
PB2	1045	1045	
PB2	1046	1046	
PB2	1047	1047	
PB2	1048	1048	
PB2	1049	1049	
PB2	1050	1050	
PB2	1051	1051	
PB2	1052	1052	
PB2	1053	1053	
PB2	1054	1054	
PB2	1055	1055	
PB2	1056	1056	
PB2	1057	1057	
PB2	1058	1058	
PB2	1059	1059	
PB2	1060	1060	
PB2	1061	1061	
PB2	1062	1062	
PB2	1063	1063	
PB2	1064	1064	
PB2	1065	1065	
PB2	1066	1066	
PB2	1067	1067	
PB2	1068	1068	
PB2	1069	1069	
PB2	1070	1070	
PB2	1071	1071	
PB2	1072	1072	
PB2	1073	1073	
PB2	1074	1074	
PB2	1075	1075	
PB2	1076	1076	
PB2	1077	1077	
PB2	1078	1078	
PB2	1079	1079	
PB2	1080	1080	
PB2	1081	1081	
PB2	1082	1082	
PB2	1083	1083	
PB2	1084	1084	
PB2	1085	1085	
PB2	1086	1086	
PB2	1087	1087	
PB2	1088	1088	
PB2	1089	1089	
PB2	1090	1090	
PB2	1091	1091	
PB2	1092	1092	
PB2	1093	1093	
PB2	1094	1094	
PB2	1095	1095	
PB2	1096	1096	
PB2	1097	1097	
PB2	1098	1098	
PB2	1099	1099	
PB2	1100	1100	
PB2	1101	1101	
PB2	1102	1102	
PB2	1103	1103	
PB2	1104	1104	
PB2	1105	1105	
PB2	1106	1106	
PB2	1107	1107	
PB2	1108	1108	
PB2	1109	1109	
PB2	1110	1110	
PB2	1111	1111	
PB2	1112	1112	
PB2	1113	1113	
PB2	1114	1114	
PB2	1115	1115	
PB2	1116	1116	
PB2	1117	1117	
PB2	1118	1118	
PB2	1119	1119	
PB2	1120	1120	
PB2	1121	1121	
PB2	1122	1122	
PB2	1123	1123	
PB2	1124	1124	
PB2	1125	1125	
PB2	1126	1126	
PB2	1127	1127	
PB2	1128	1128	
PB2	1129	1129	
PB2	1130	1130	
PB2	1131	1131	
PB2	1132	1132	
PB2	1133	1133	
PB2	1134	1134	
PB2	1135	1135	
PB2	1136	1136	
PB2	1137	1137	
PB2	1138	1138	
PB2	1139	1139	
PB2	1140	1140	
PB2	1141	1141	
PB2	1142	1142	
PB2	1143	1143	
PB2	1144	1144	
PB2	1145	1145	
PB2	1146	1146	
PB2	1147	1147	
PB2	1148	1148	
PB2	1149	1149	
PB2	1150	1150	
PB2	1151	1151	
PB2	1152	1152	
PB2	1153	1153	
PB2	1154	1154	
PB2	1155	1155	
PB2	1156	1156	
PB2	1157	1157	
PB2	1158	1158	
PB2	1159	1159	
PB2	1160	1160	
PB2	1161	1161	
PB2	1162	1162	
PB2	1163	1163	
PB2	1164	1164	
PB2	1165	1165	
PB2	1166	1166	
PB2	1167	1167	
PB2	1168	1168	
PB2	1169	1169	
PB2	1170	1170	
PB2	1171	1171	
PB2	1172	1172	
PB2	1173	1173	
PB2	1174	1174	
PB2	1175	1175	
PB2	1176	1176	
PB2	1177	1177	
PB2	1178	1178	
PB2	1179	1179	
PB2	1180	1180	
PB2	1181	1181	
PB2	1182	1182	
PB2	1183	1183	
PB2	1184	1184	
PB2	1185	1185	
PB2	1186	1186	
PB2	1187	1187	
PB2	1188	1188	
PB2	1189	1189	
PB2	1190	1190	
PB2	1191	1191	
PB2	1192	1192	
PB2	1193	1193	
PB2	1194	1194	
PB2	1195	1195	
PB2	1196	1196	
PB2	1197	1197	
PB2	1198	1198	
PB2	1199	1199	
PB2	1200	1200	
PB2	1201	1201	
PB2	1202	1202	
PB2	1203	1203	
PB2	1204	1204	
PB2	1205	1205	
PB2	1206	1206	
PB2	1207	1207	
PB2	1208	1208	
PB2	1209	1209	
PB2	1210	1210	
PB2	1211	1211	
PB2	1212	1212	
PB2	1213	1213	
PB2	1214	1214	
PB2	1215	1215	
PB2	1216	1216	
PB2	1217	1217	
PB2	1218	1218	
PB2	1219	1219	
PB2	1220	1220	
PB2	1221	1221	
PB2	1222	1222	
PB2	1223	1223	
PB2	1224	1224	
PB2	1225	1225	
PB2	1226	1226	
PB2	1227	1227	
PB2	1228	1228	
PB2	1229	1229	
PB2	1230	1230	
PB2	1231	1231	
PB2	1232	1232	
PB2	1233	1233	
PB2	1234	1234	
PB2	1235	1235	
PB2	1236	1236	
PB2	1237	1237	
PB2	1238	1238	
PB2	1239	1239	
PB2	1240	1240	
PB2	1241	1241	
PB2	1242	1242	
PB2	1243	1243	
PB2	1244	1244	
PB2	1245	1245	
PB2	1246	1246	
PB2	1247	1247	
PB2	1248	1248	
PB2	1249	1249	
PB2	1250	1250	
PB2	1251	1251	
PB2	1252	1252	
PB2	1253	1253	
PB2	1254	1254	
PB2	1255	1255	
PB2	1256	1256	
PB2	1257	1257	
PB2	1258	1258	
PB2	1259	1259	
PB2	1260	1260	
PB2	1261	1261	
PB2	1262	1262	
PB2	1263	1263	
PB2	1264	1264	
PB2	1265	1265	
PB2	1266	1266	
PB2	1267	1267	
PB2	1268	1268	
PB2	1269	1269	
PB2	1270	1270	
PB2	1271	1271	
PB2	1272	1272	
PB2	1273	1273	
PB2	1274	1274	
PB2	1275	1275	
PB2	1276	1276	
PB2	1277	1277	
PB2	1278	1278	
PB2	1279	1279	
PB2	1280	1280	
PB2	1281	1281	
PB2	1282	1282	
PB2	1283	1283	
PB2	1284	1284	
PB2	1285	1285	
PB2	1286	1286	
PB2	1287	1287	
PB2	1288	1288	
PB2	1289	1289	
PB2	1290	1290	
PB2	1291	1291	
PB2	1292	1292	
PB2	1293	1293	
PB2	1294	1294	
PB2	1295	1295	
PB2	1296	1296	
PB2	1297	1297	
PB2	1298	1298	
PB2	1299	1299	
PB2	1300	1300	
PB2	1301	1301	
PB2	1302	1302	
PB2	1303	1303	
PB2	1304	1304	
PB2	1305	1305	
PB2	1306	1306	
PB2	1307	1307	
PB2	1308	1308	
PB2	1309	1309	
PB2	1310	1310	
PB2	1311	1311	
PB2	1312	1312	
PB2	1313	1313	
PB2	1314	1314	
PB2	1315	1315	
PB2	1316	1316	
PB2	1317	1317	
PB2	1318	1318	
PB2	1319	1319	
PB2	1320	1320	
PB2	1321	1321	
PB2	1322	1322	
PB2	1323	1323	
PB2	1324	1324	
PB2	1325	1325	
PB2	1326	1326	
PB2	1327	1327	
PB2	1328	1328	
PB2	1329	1329	
PB2	1330	1330	
PB2	1331	1331	
PB2	1332	1332	
PB2	1333	1333	
PB2	1334	1334	
PB2	1335	1335	
PB2	1336	1336	
PB2	1337	1337	
PB2	1338	1338	
PB2	1339	1339	
PB2	1340	1340	
PB2	1341	1341	
PB2	1342	1342	
PB2	1343	1343	
PB2	1344	1344	
PB2	1345	1345	
PB2	1346	1346	
PB2	1347	1347	
PB2	1348	1348	
PB2	1349	1349	
PB2	1350	1350	
PB2	1351	1351	
PB2	1352	1352	
PB2	1353	1353	
PB2	1354	1354	
PB2	1355	1355	
PB2	1356	1356	
PB2	1357	1357	
PB2	1358	1358	
PB2	1359	1359	
PB2	1360	1360	
PB2	1361	1361	
PB2	1362	1362	
PB2	1363	1363	
PB2	1364	1364	
PB2	1365	1365	
PB2	1366	1366	
PB2	1367	1367	
PB2	1368	1368	
PB2	1369	1369	
PB2	1370	1370	
PB2	1371	1371	
PB2	1372	1372	
PB2	1373	1373	
PB2	1374	1374	
PB2	1375	1375	
PB2	1376	1376	
PB2	1377	1377	
PB2	1378	1378	
PB2	1379	1379	
PB2	1380	1380	
PB2	1381	1381	
PB2	1382	1382	
PB2	1383	1383	
PB2	1384	1384	
PB2	1385	1385	
PB2	1386	1386	
PB2	1387	1387	
PB2	1388	1388	
PB2	1389	1389	
PB2	1390	1390	
PB2	1391	1391	
PB2	1392	1392	
PB2	1393	1393	
PB2	1394	1394	
PB2	1395	1395	
PB2	1396	1396	
PB2	1397	1397	
PB2	1398	1398	
PB2	1399	1399	
PB2	1400	1400	
PB2	1401	1401	
PB2	1402	1402	
PB2	1403	1403	
PB2	1404	1404	
PB2	1405	1405	
PB2	1406	1406	
PB2	1407	1407	
PB2	1408	1408	
PB2	1409	1409	
PB2	1410	1410	
PB2	1411	1411	
PB2	1412	1412	
PB2	1413	1413	
PB2	1414	1414	
PB2	1415	1415	
PB2	1416	1416	
PB2	1417	1417	
PB2	1418	1418	
PB2	1419	1419	
PB2	1420	1420	
PB2	1421	1421	
PB2	1422	1422	
PB2	1423	1423	
PB2	1424	1424	
PB2	1425	1425	
PB2	1426	1426	
PB2	1427	1427	
PB2	1428	1428	
PB2	1429	1429	
PB2	1430	1430	
PB2	1431	1431	
PB2	1432	1432	
PB2	1433	1433	
PB2	1434	1434	
PB2	1435	1435	
PB2	1436	1436	
PB2	1437	1437	
PB2	1438	1438	
PB2	1439	1439	
PB2	1440	1440	
PB2	1441	1441	
PB2	1442	1442	
PB2	1443	1443	
PB2	1444	1444	
PB2	1445	1445	
PB2	1446	1446	
PB2	1447	1447	
PB2	1448	1448	
PB2	1449	1449	
PB2	1450	1450	
